Energy;Significance;Global Mode Intensity;Sigma Posterior
1935.0;2.0630096609872055;8.579565491648909;4.158761664520444
1956.0;2.2036772433599188;8.401606698543672;3.812539573959501
2103.0;3.3322776419235414;19.05302341549134;5.717717868338568
2104.0;3.9459047797291174;23.42090920214199;5.935497815978675
2105.0;3.6144642142680152;21.737214514317433;6.013952061970976
2106.0;2.6368520731440865;15.121105062630969;5.734529144291781
2117.0;2.3784842938473583;13.012040152409858;5.470727801764042
2118.0;3.2901290215614343;18.67721542351346;5.676742553594327
2119.0;3.3576373808463438;18.35338125185458;5.4661594359627745
2120.0;2.7031226821765046;14.517913561541622;5.3707934372597785
2202.0;4.681115721244512;34.63341962296439;7.398539511806133
2203.0;5.918747268317127;45.81084393022996;7.739956084196059
2204.0;6.151141951997648;48.6723532898411;7.912734524690045
